Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-perfect-day-light-blue,"The Perfect Day, Light Blue","<p class=""p1"">Celebrate your most unforgettable moments with The Perfect Day wedding album in soft, featuring an elegant light blue cloth cover. <br><br><meta charset=""utf-8"">The photo album includes 30 pages of high-quality white photo paper in the size 28x21 cm (60 pages if used double-sided), ready for your memories. Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers</a> or <a href=""https://printworksmarket.com/collections/photo-album-accessories/products/photo-album-photo-corners"">corners.</a> The album can hold up to 40 pages, and extra <a href=""https://printworksmarket.com/products/photo-paper-large-white-10-pack"">photo paper</a> (large) is available if you need more space.<br><br>Perfectly suited for display on your coffee table, this album keeps the magic of your wedding day close at hand while adding a delicate and timeless touch to your home.<br></p>",Printworks,Wedding Photo Album,Wedding Photo Album,"Large Photo Albums, YGroup_PhotoAlbums",true,Title,Default Title,,,,,,,,PW00762,1100,shopify,deny,manual,50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_the-perfect-day.jpg?v=1752066064,1,,false,,,,"Vendor: Printworks
Type: Wedding Photo Album
Weight: 1100g",,,,,,,,,,,,,,kg,,,active
the-perfect-day-light-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_the-perfect-day_mood_1.jpg?v=1752066122,2,,,,,,,,,,,,,,,,,,,,,,,
the-perfect-day-light-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_the-perfect-day_mood_2.jpg?v=1756293257,3,,,,,,,,,,,,,,,,,,,,,,,
the-perfect-day-light-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_the-perfect-day-2.jpg?v=1752066122,4,,,,,,,,,,,,,,,,,,,,,,,
the-perfect-day-light-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_the-perfect-day-3.jpg?v=1752066064,5,,,,,,,,,,,,,,,,,,,,,,,
photo-paper-white-10-pack-s,"Photo paper, white 10-pack (S)","<p class=""p1""><meta charset=""utf-8"">Extend your photo album with carefully designed white refill pages tailored to fit only our smaller albums — <a href=""https://printworksmarket.com/products/photo-album-little-moments-big-memories-orange"">Little Moments Big Memories</a>, and <a href=""https://printworksmarket.com/products/photo-album-good-times-beige?pr_prod_strat=pinned&amp;pr_rec_id=cdd89f3e1&amp;pr_rec_pid=15060020298063&amp;pr_ref_pid=15060057063759&amp;pr_seq=uniform"">Good Times beige</a> (19x22 cm). <br><br>This pack includes 10 sheets of high-quality, 230 gsm acid-free photo paper — ideal for preserving your memories with both style and longevity. </p>",Printworks,Photo Album Accessories,Photo Album Accessories,Small Photo Album Accessories,true,Title,Default Title,,,,,,,,PW00759,100,shopify,deny,manual,9,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_refill-papper_white-small_1.jpg?v=1752063925,1,,false,,,,"Vendor: Printworks
Type: Photo Album Accessories
Weight: 100g",,,,,,,,,,,,,,kg,,,active
photo-paper-black-10-pack-s,"Photo paper, black 10-pack (S)","<p class=""p1""><meta charset=""utf-8"">Extend your photo album with carefully designed black refill pages tailored to fit only our smaller albums — <a href=""https://printworksmarket.com/products/photo-album-little-moments-big-memories-orange"">Little Moments Big Memories</a>, and <a href=""https://printworksmarket.com/products/photo-album-good-times-beige?pr_prod_strat=pinned&amp;pr_rec_id=cdd89f3e1&amp;pr_rec_pid=15060020298063&amp;pr_ref_pid=15060057063759&amp;pr_seq=uniform"">Good Times beige</a> (19x22 cm).<br><br>This pack includes 10 sheets of high-quality, 230 gsm acid-free photo paper — ideal for preserving your memories with both style and longevity. </p>",Printworks,Photo Album Accessories,Photo Album Accessories,Small Photo Album Accessories,true,Title,Default Title,,,,,,,,PW00760,100,shopify,deny,manual,9,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_refill-papper_black-small_1.jpg?v=1752063622,1,,false,,,,"Vendor: Printworks
Type: Photo Album Accessories
Weight: 100g",,,,,,,,,,,,,,kg,,,active
one-love-2-pack,"One Love, 2-pack","<p class=""p1"">This elegant photo book set is designed to preserve the memories of your wedding day and honeymoon in one beautifully curated slipcase. <br><br>Featuring two separate photo books — one for the ceremony and celebration, the other for your <meta charset=""utf-8"">honeymoon adventures as newlyweds — it offers a timeless way to honor these unforgettable moments. With its book-like design, the set fits perfectly on your bookshelf while keeping your most cherished memories thoughtfully collected. <br><br><meta charset=""utf-8"">The photo book includes 40 pages of high-quality white photo paper per book <meta charset=""utf-8""><meta charset=""utf-8"">in the size 18x26,5 cm (80 pages if used double-sided), ready for your memories. <meta charset=""utf-8"">Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers.</a><br><br><meta charset=""utf-8""><strong>Please note: our photo corners aren’t suitable for this book. Once the two photo books are filled, they won’t fit inside the slipcase. We recommend using our photo stickers instead.</strong><br></p>",Printworks,Photo Book,Photo Book,"Bookshelf Albums, medium-bag, YGroup_PhotoBook",true,Title,Default Title,,,,,,,,PW00771,1436,shopify,deny,manual,75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_1_ed8a994b-a3e6-4b06-8736-b91d87f35d42.jpg?v=1764769433,1,,false,,,,"Vendor: Printworks
Type: Photo Book
Weight: 1436g",,,,,,,,,,,,,,kg,,,active
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_mood_2.jpg?v=1764769433,2,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Open_onelove.jpg?v=1764769443,3,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_mood_1.jpg?v=1764769443,4,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_2_175f0bba-f3fd-4819-9008-7edfefdd07f1.jpg?v=1764769385,5,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_3_1f29f6c0-21a7-4e40-8c58-21021b9bea6c.jpg?v=1764769385,6,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_4_2d7b0db9-0d7d-4b85-8d0e-ede5d2f86ea2.jpg?v=1764769385,7,,,,,,,,,,,,,,,,,,,,,,,
one-love-2-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_love_5_ae66ff9b-5c70-4a62-965e-a0a915ff6ba1.jpg?v=1764769385,8,,,,,,,,,,,,,,,,,,,,,,,
mom-beige,"Mom, Beige","<p class=""p1"">A tribute to mothers everywhere, this photo book is thoughtfully designed to hold life’s most precious memories. Covered in elegant beige cloth with the word Mom embossed in white, it blends seamlessly into your bookshelf while celebrating the heart of the family.<meta charset=""utf-8""></p>
<p><meta charset=""utf-8"">The photo book includes 40 pages of high-quality white photo paper <meta charset=""utf-8""><meta charset=""utf-8"">in the size 18x26,5 cm (80 pages if used double-sided), ready for your memories. <meta charset=""utf-8"">Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers</a> or <a href=""https://printworksmarket.com/collections/photo-album-accessories/products/photo-album-photo-corners"">corners.</a></p>
<p>Please note, the binding technique of this album allows it to expand as you place photos on every page. It's designed so that once filled with photos, and not before, it takes on the shape of a 90-degree coffee table book.</p>",Printworks,Photo Book,Photo Book,"Bookshelf Albums, small-bag, YGroup_PhotoBook",true,Title,Default Title,,,,,,,,PW00751,500,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_mom_1_7bd6c85a-ee0f-4d5e-9ab0-470a0e3501a2.jpg?v=1764769227,1,,false,,,,"Vendor: Printworks
Type: Photo Book
Weight: 500g",,,,,,,,,,,,,,kg,,,active
mom-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_PhotoBook_Mom_mood_2.jpg?v=1764769227,2,,,,,,,,,,,,,,,,,,,,,,,
mom-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_mom_2_5c95243e-6dd1-4f3a-8a11-987c451d66c0.jpg?v=1764769227,3,,,,,,,,,,,,,,,,,,,,,,,
mom-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_mom_mood_1.jpg?v=1764769227,4,,,,,,,,,,,,,,,,,,,,,,,
mom-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_mom_3_0d59b96b-7a6c-452e-9051-a2d01c27c0fe.jpg?v=1764769217,5,,,,,,,,,,,,,,,,,,,,,,,
dad-grey,"Dad, Grey","<p>Dedicated to the fathers who shape our lives, this photo book combines thoughtful design with timeless sentiment. Wrapped in classic grey cloth with the word Dad embossed in white, it fits beautifully on any bookshelf while preserving your most cherished memories. <br><meta charset=""utf-8""></p>
<p><meta charset=""utf-8"">The photo book includes 40 pages of high-quality white photo paper <meta charset=""utf-8""><meta charset=""utf-8"">in the size 18x26,5 cm (80 pages if used double-sided), ready for your memories. <meta charset=""utf-8"">Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers</a> or <a href=""https://printworksmarket.com/collections/photo-album-accessories/products/photo-album-photo-corners"">corners.</a></p>
<p>Please note, the binding technique of this album allows it to expand as you place photos on every page. It's designed so that once filled with photos, and not before, it takes on the shape of a 90-degree coffee table book.</p>",Printworks,Photo Book,Photo Book,"Bookshelf Albums, small-bag, YGroup_PhotoBook",true,Title,Default Title,,,,,,,,PW00763,500,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_dad_1_702496ae-7638-45d8-a51d-bc4e0eb93c2b.jpg?v=1764769145,1,,false,,,,"Vendor: Printworks
Type: Photo Book
Weight: 500g",,,,,,,,,,,,,,kg,,,active
dad-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_PhotoBook_Dad_mood_2.jpg?v=1764769145,2,,,,,,,,,,,,,,,,,,,,,,,
dad-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_dad_2_7e21b909-26b2-443f-91ad-b96b202d08ab.jpg?v=1764769145,3,,,,,,,,,,,,,,,,,,,,,,,
dad-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_dad_mood_1.jpg?v=1764769145,4,,,,,,,,,,,,,,,,,,,,,,,
dad-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_dad_3_37854ea6-cb47-481b-a821-1acfa731fce7.jpg?v=1764769113,5,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,"My First 3 Years, 3-pack","<p class=""p1""><meta charset=""utf-8"">Celebrate the magic of your child’s first years with this beautifully designed photo book set. Housed in an elegant slipcase, the bundle includes three separate albums — one for each of your baby’s first three years, perfectly capturing every precious milestone. With its book-like format, it fits seamlessly into your bookshelf while keeping treasured memories thoughtfully organized and close at hand. <br><br><meta charset=""utf-8"">The photo book includes 40 pages of high-quality white photo paper per book <meta charset=""utf-8""><meta charset=""utf-8"">in the size 18x26,5 cm (80 pages if used double-sided), ready for your memories. <meta charset=""utf-8"">Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers.</a><br><br><meta charset=""utf-8""><strong>Please note: our photo corners aren’t suitable for this book. Once all three photo books are filled, they won’t fit inside the slipcase. We recommend using our photo stickers instead.</strong><br></p>",Printworks,Curated Set,Curated Set,"Bookshelf Albums, YGroup_PhotoBook",true,Title,Default Title,,,,,,,,PW00770,2099,shopify,deny,manual,95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_1_fa7a45ff-92d9-44e4-9840-4115324bf745.jpg?v=1764769520,1,,false,,,,"Vendor: Printworks
Type: Curated Set
Weight: 2099g",,,,,,,,,,,,,,kg,,,active
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_PhotoBooks_MyFirstThreeYears_mood_1.jpg?v=1764769593,2,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_2_e0fd090c-a1fa-45e8-bd02-6128a741009f.jpg?v=1764769593,3,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Open_baby.jpg?v=1764769593,4,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_6_45f59376-ea25-46cf-8d42-e375cbee30ff.jpg?v=1764769593,5,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_3_e5c94b2d-baf6-4a89-9699-ca504a472a5c.jpg?v=1764769593,6,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_5_e3b8b669-6fca-4760-9086-a6be2a0533e6.jpg?v=1764769593,7,,,,,,,,,,,,,,,,,,,,,,,
my-first-3-years-baby-3-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-books_my-first-3-years_4_d8082128-eaa6-46fd-8e0c-f9292d7fbc49.jpg?v=1764769593,8,,,,,,,,,,,,,,,,,,,,,,,
all-you-need-is-love-orange,"All You Need is Love, Orange","<p>Discover our photo book All You Need Is Love, featuring a cloth cover in bold orange with white and pink lettering. Designed to capture the moments that matter most, this vibrant photo album brings a playful yet timeless feel to any space. <br><meta charset=""utf-8""></p>
<p>The photo book includes 40 pages of high-quality white photo paper <meta charset=""utf-8""><meta charset=""utf-8"">in the size 18x26,5 cm (80 pages if used double-sided), ready for your memories. <meta charset=""utf-8"">Easily attach your photos with our <a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers</a> or <a href=""https://printworksmarket.com/collections/photo-album-accessories/products/photo-album-photo-corners"">corners.</a><br></p>
<p><meta charset=""utf-8"">Please note, the binding technique of this album allows it to expand as you place photos on every page. It's designed so that once filled with photos, and not before, it takes on the shape of a 90-degree coffee table book.</p>",Printworks,Photo Book,Photo Book,"Bookshelf Albums, small-bag, YGroup_PhotoBook",true,Title,Default Title,,,,,,,,PW00767,500,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_all-you-need-is-love_1_2e6fbf73-8cb3-46ca-a130-c354d9fb772a.jpg?v=1764769068,1,,false,,,,"Vendor: Printworks
Type: Photo Book
Weight: 500g",,,,,,,,,,,,,,kg,,,active
all-you-need-is-love-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_PhotoBook_AllYouNeedIsLove_mood_2.jpg?v=1764769068,2,,,,,,,,,,,,,,,,,,,,,,,
all-you-need-is-love-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_all-you-need-is-love_2_c5cb446c-bfde-42e5-8f06-5011a29168de.jpg?v=1764769068,3,,,,,,,,,,,,,,,,,,,,,,,
all-you-need-is-love-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_all-you-need-is-love_mood_1.jpg?v=1764769068,4,,,,,,,,,,,,,,,,,,,,,,,
all-you-need-is-love-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-book_all-you-need-is-love_3.jpg?v=1764769068,5,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,Our Wedding Day,"<p class=""p1"">Our Wedding Day is a beautifully designed guest book made to capture the heartfelt words and warm wishes from your special day. With its ivory white cover and elegant navy slipcase, it’s a timeless keepsake meant to be treasured for years to come. With 100 pages, it provides ample space for your guests to share their messages. Let it live on your shelf or coffee table as a gentle reminder of the love and joy shared on your wedding day.</p>",Printworks,Guest Book,Guest Book,medium-bag,true,Title,Default Title,,,,,,,,PW00753,900,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-guest-book_beige_1_56bd4ab4-0730-4f6c-af09-2adaccad86be.jpg?v=1764772727,1,,false,,,,"Vendor: Printworks
Type: Guest Book
Weight: 900g",,,,,,,,,,,,,,kg,,,active
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Guest_Book_01.png?v=1774959449,2,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-guest-book_beige_4_bf563d78-73f3-4401-89d8-e9f7e269479d.jpg?v=1774959464,3,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Guest_Book_02.png?v=1774959464,4,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-guest-book_beige_mood_1.jpg?v=1774959449,5,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-guest-book_beige_2_b08df2d8-c405-4174-b36c-d4bba6a1842f.jpg?v=1774959449,6,,,,,,,,,,,,,,,,,,,,,,,
our-wedding-day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-guest-book_beige_3_5baa7c97-07e5-4734-a6bf-a81052646bac.jpg?v=1774959449,7,,,,,,,,,,,,,,,,,,,,,,,
the-secret-garden,The Secret Garden,"<p class=""p1"">Nurture your green thumb with The Secret Garden, a beautifully designed journal to track your garden’s growth, planting plans, and seasonal inspirations. Perfect for gardeners who want to cultivate memories as much as their plants.</p>",Printworks,Fill-in Book,Fill-in Book,small-bag,true,Title,Default Title,,,,,,,,PW00752,800,shopify,deny,manual,39,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_1_a6233994-57e5-4a5a-8e5e-5c4a825c3f30.jpg?v=1764086424,1,,false,,,,"Vendor: Printworks
Type: Fill-in Book
Weight: 800g",,,,,,,,,,,,,,kg,,,active
the-secret-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_mood_1.jpg?v=1764086424,2,,,,,,,,,,,,,,,,,,,,,,,
the-secret-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_2_4c764fdb-2f6f-45b9-b6b1-2e6d8951c6c0.jpg?v=1764086424,3,,,,,,,,,,,,,,,,,,,,,,,
the-secret-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_3_9f6a7071-ea00-4ac9-b943-13519f4d1f9c.jpg?v=1764086424,4,,,,,,,,,,,,,,,,,,,,,,,
the-secret-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_5_17c3b780-c4c0-4b1d-a220-2a0f0af8f64a.jpg?v=1764086424,5,,,,,,,,,,,,,,,,,,,,,,,
the-secret-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_garden-journal_4_a99d254e-ec67-405d-ae26-c471a844fed0.jpg?v=1764086424,6,,,,,,,,,,,,,,,,,,,,,,,
wedding-planner,Wedding Planner,"<p class=""p1"">Plan your dream wedding with The Perfect Day, the ultimate wedding planner that helps you organize every detail for your big day. From the ceremony to the celebration, keep track of timelines, guests, and personal touches to ensure a seamless and unforgettable wedding experience.</p>",Printworks,Fill-in Book,Fill-in Book,small-bag,true,Title,Default Title,,,,,,,,PW00745,700,shopify,deny,manual,39,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_1_ae42a1a1-3019-45dc-ab31-12556aae583c.jpg?v=1764773185,1,,false,,,,"Vendor: Printworks
Type: Fill-in Book
Weight: 700g",,,,,,,,,,,,,,kg,,,active
wedding-planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_mood_2.jpg?v=1764773185,2,,,,,,,,,,,,,,,,,,,,,,,
wedding-planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_2_1843bb4e-2040-4a7c-8657-088ddfcc2827.jpg?v=1764773185,3,,,,,,,,,,,,,,,,,,,,,,,
wedding-planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_3_f9b2433e-c113-4500-8ae5-a0dc9473742c.jpg?v=1764773185,4,,,,,,,,,,,,,,,,,,,,,,,
wedding-planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_mood_1.jpg?v=1764773185,5,,,,,,,,,,,,,,,,,,,,,,,
wedding-planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-planner_4_4fad268e-93fd-4efa-9c68-36e0e2c7a30f.jpg?v=1764773167,6,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,Our Love Story,"<p class=""p1"">Document the beautiful journey from first meeting to the wedding day and beyond with Our Love Story. This journal invites you to preserve memories, milestones, and special moments of your relationship — from the spark of love to your honeymoon adventures.<br></p>",Printworks,Fill-in Book,Fill-in Book,small-bag,true,Title,Default Title,,,,,,,,PW00746,600,shopify,deny,manual,39,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_1_fe1dfbe8-0ed5-49e2-bd8e-a7b35fbcf366.jpg?v=1764772789,1,,false,,,,"Vendor: Printworks
Type: Fill-in Book
Weight: 600g",,,,,,,,,,,,,,kg,,,active
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_mood_2.jpg?v=1764772789,2,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_3_080fa23c-83c0-47bc-960f-64d6d750d3d3.jpg?v=1764772789,3,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_2_2dd5bc38-520f-4b79-81f1-93f66439fc8d.jpg?v=1764772789,4,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_mood_1.jpg?v=1764772789,5,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_5_e05b27b3-f050-4a0b-a8c9-779bc5f0c907.jpg?v=1764772789,6,,,,,,,,,,,,,,,,,,,,,,,
our-love-story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_wedding-journal_4_22b1f068-efd4-467f-9a5b-c323663d6330.jpg?v=1764772789,7,,,,,,,,,,,,,,,,,,,,,,,
