Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
be-my-guest-white-anthracite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_grey-4.jpg?v=1767886696,4,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-white-anthracite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_grey-2.jpg?v=1767886696,5,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-pink-rust,"Be My Guest, Pink/Rust","<p>Discover our ""Be My Guest"" Book in pink, presented in a rust slipcase - a beautiful way to preserve memories from special occasions and gatherings. With its elegant cloth cover and high-quality pages, there’s plenty of space for heartfelt notes and well wishes. Containing 100 pages, it’s a timeless keepsake to display on your coffee table or shelf.</p>",Printworks,Guest Book,Guest Book,"medium-bag, SS26, YGroup_GuestBook",true,Title,Default Title,,,,,,,,PW00782,990,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_rust_b31ad343-70cd-42ae-9e06-6464116c06f6.jpg?v=1767885854,1,,false,,,,"Vendor: Printworks
Type: Guest Book
Weight: 990g",,,,,,,,,,,,,,kg,,,active
be-my-guest-pink-rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_guest-book_rust.jpg?v=1770822090,2,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-pink-rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_rust-3.jpg?v=1770822090,3,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-pink-rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_rust-4.jpg?v=1770822090,4,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-pink-rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_rust-2.jpg?v=1770822090,5,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-light-blue-dark-blue,"Be My Guest, Light Blue/Dark Blue","<p>Discover our ""Be My Guest"" Book in light blue, presented in a dark blue slipcase that beautifully frames the design. Featuring a refined cloth cover and generous writing space, it invites guests to share words and memories you’ll treasure for years to come. With 100 pages, it’s both a meaningful keepsake and a stylish detail for your home.</p>",Printworks,Guest Book,Guest Book,"medium-bag, SS26, YGroup_GuestBook",true,Title,Default Title,,,,,,,,PW00779,990,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_blue.jpg?v=1767885567,1,,false,,,,"Vendor: Printworks
Type: Guest Book
Weight: 990g",,,,,,,,,,,,,,kg,,,active
be-my-guest-light-blue-dark-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_guest-book_blue.jpg?v=1767885567,2,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-light-blue-dark-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_blue-3.jpg?v=1767885566,3,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-light-blue-dark-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_blue-4.jpg?v=1767885566,4,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-light-blue-dark-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_blue-2.jpg?v=1767885566,5,,,,,,,,,,,,,,,,,,,,,,,
